47,Local government,43,12,Doctorate degree(PhD EdD),0,Not in universe,Married-civilian spouse present,Education,Professional specialty,White,All other,Female,No,Not in universe,Children or Armed Forces,0,0,0,Joint both under 65,Not in universe,Not in universe,Spouse of householder,Spouse of householder,2625.77,Nonmover,Nonmover,Nonmover,Yes,Not in universe,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,94,50000+.
25,Private,33,41,Some college but no degree,0,Not in universe,Never married,Retail trade,Handlers equip cleaners etc ,Amer Indian Aleut or Eskimo,All other,Male,Not in universe,Job leaver,Children or Armed Forces,0,0,0,Single,Midwest,Wyoming,Nonfamily householder,Householder,2764.79,MSA to MSA,Different division same region,Different state in Midwest,No,No,4,Not in universe,United-States,Germany,United-States,Native- Born in the United States,0,Not in universe,2,52,94,- 50000.
47,Private,23,37,Some college but no degree,0,Not in universe,Married-civilian spouse present,Manufacturing-nondurable goods,Machine operators assmblrs & inspctrs,White,All other,Female,Not in universe,Not in universe,PT for non-econ reasons usually FT,0,0,0,Joint both under 65,Not in universe,Not in universe,Spouse of householder,Spouse of householder,2280.93,?,?,?,Not in universe under 1 year old,?,5,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,- 50000.
71,Not in universe,0,0,High school graduate,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Not in labor force,0,0,0,Joint both 65+,Not in universe,Not in universe,Spouse of householder,Spouse of householder,1478.04,?,?,?,Not in universe under 1 year old,?,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,95,- 50000.
57,Private,9,37,9th grade,0,Not in universe,Divorced,Manufacturing-durable goods,Machine operators assmblrs & inspctrs,White,Central or South American,Female,Not in universe,Not in universe,Full-time schedules,0,0,0,Single,Not in universe,Not in universe,Householder,Householder,743.66,?,?,?,Not in universe under 1 year old,?,4,Not in universe,Dominican-Republic,Dominican-Republic,Dominican-Republic,Foreign born- Not a citizen of U S ,0,Not in universe,2,52,95,- 50000.
51,Private,33,19,10th grade,0,Not in universe,Widowed,Retail trade,Sales,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,0,Single,South,North Dakota,Householder,Householder,1302.34,NonMSA to nonMSA,Same county,Same county,No,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,- 50000.
87,Not in universe,0,0,High school graduate,0,Not in universe,Widowed,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Not in labor force,0,0,0,Single,Not in universe,Not in universe,Nonfamily householder,Householder,3255.8,?,?,?,Not in universe under 1 year old,?,0,Not in universe,?,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,95,- 50000.
3,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,Black,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,0,Nonfiler,South,Utah,Child under 18 of RP of unrel subfamily,Nonrelative of householder,2733.75,MSA to MSA,Same county,Same county,No,Yes,0,Mother only present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,- 50000.
39,Private,43,26,Bachelors degree(BA AB BS),0,Not in universe,Never married,Education,Adm support including clerical,Other,Mexican-American,Male,No,Not in universe,Full-time schedules,6849,0,0,Single,Not in universe,Not in universe,Nonfamily householder,Householder,908.14,?,?,?,Not in universe under 1 year old,?,6,Not in universe,Mexico,Mexico,Mexico,Foreign born- Not a citizen of U S ,2,Not in universe,2,52,95,- 50000.
87,Not in universe,0,0,7th and 8th grade,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Not in labor force,0,0,0,Joint both 65+,Not in universe,Not in universe,Householder,Householder,955.27,?,?,?,Not in universe under 1 year old,?,0,Not in universe,Canada,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,95,- 50000.
65,Self-employed-incorporated,37,2,11th grade,0,Not in universe,Married-civilian spouse present,Business and repair services,Executive admin and managerial,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,6418,0,9,Joint one under 65 & one 65+,Not in universe,Not in universe,Householder,Householder,687.19,Nonmover,Nonmover,Nonmover,Yes,Not in universe,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,- 50000.
47,Not in universe,0,0,Some college but no degree,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,157,Joint both under 65,Not in universe,Not in universe,Householder,Householder,1923.03,?,?,?,Not in universe under 1 year old,?,6,Not in universe,Poland,Poland,Germany,Foreign born- U S citizen by naturalization,0,Not in universe,2,52,95,- 50000.
16,Not in universe,0,0,10th grade,0,High school,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Not in labor force,0,0,0,Nonfiler,Not in universe,Not in universe,Child <18 never marr not in subfamily,Child under 18 never married,4664.87,?,?,?,Not in universe under 1 year old,?,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,95,- 50000.
32,Private,42,30,High school graduate,0,Not in universe,Never married,Medical except hospital,Other service,Black,All other,Female,No,Not in universe,Children or Armed Forces,0,0,0,Single,Not in universe,Not in universe,Nonfamily householder,Householder,1830.11,Nonmover,Nonmover,Nonmover,Yes,Not in universe,6,Not in universe,?,?,?,Foreign born- Not a citizen of U S ,0,Not in universe,2,52,94,- 50000.
